Entity Type	Pos\Neg	Test Input	Score	Count	Types Found	Rules Matched	Annotations Found
Date	POS	12/30/2001	TP	1	[Date]	[MDY-02]	12/30/2001 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 2001, isEntity=true}),
Date	NEG	12/30/0000	TN	0	[]	[]	
Date	POS	12/30/1955	TP	1	[Date]	[MDY-02]	12/30/1955 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Fri Dec 30 00:00:00 EST 1955, isEntity=true}),
Date	POS	12/30/1915	TP	1	[Date]	[MDY-02]	12/30/1915 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 1915, isEntity=true}),
Date	POS	DEC 30,1990	TP+DUPE	2	[Date]	[MDY-08, MY-01]	DEC 30,1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30 1990	TP+DUPE	2	[Date]	[MDY-06, MY-01]	DEC 30 1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30 90	TP+DUPE	2	[Date]	[MDY-05, MY-01]	DEC 30 90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	NEG	DEC 30 990	FP	1	[Date]	[MY-01]	DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	NEG	DEC 00 1990	FP	1	[Date]	[MY-01]	DEC 00 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Fri Dec 01 00:00:00 EST 2000, isEntity=true}),
Date	POS	DEC 01 2300	TP+DUPE	2	[Date]	[MDY-06, MY-01]	DEC 01 2300 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2300, isEntity=true}),DEC 01 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2001, isEntity=true}),
Date	POS	DECMEBER 30 90 spelling err	FN	0	[]	[]	
Date	POS	DECIEMBRE 30 1990  spelling er	FN	0	[]	[]	
Date	POS	DECIEMBRE 00 1990  spelling er	FN	0	[]	[]	
Date	POS	DECEMBER 01 2300	TP+DUPE	2	[Date]	[MDY-10, MY-03]	DECEMBER 01 2300 (Date 0 16 {precision=DAY, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2300, isEntity=true}),DECEMBER 01 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2001, isEntity=true}),
Date	POS	DEC 1990	TP	1	[Date]	[MY-02]	DEC 1990 (Date 0 8 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	DEC,1990	TP	1	[Date]	[MY-02]	DEC,1990 (Date 0 8 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	DECEMBER,1990 	TP	1	[Date]	[MY-04]	DECEMBER,1990 (Date 0 13 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	DECIEMBRE,1990  spelling er	FN	0	[]	[]	
Date	POS	DEC of 1990	TP	1	[Date]	[MY-06]	DEC of 1990 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	DECEMBER of 1990	TP	1	[Date]	[MY-08]	DECEMBER of 1990 (Date 0 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	30 DEC 1990	TP+DUPE	2	[Date]	[DMY-05, MY-02]	30 DEC 1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 1990 (Date 3 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	30 Dec 90	TP+DUPE	2	[Date]	[DMY-02, MY-01]	30 Dec 90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),Dec 90 (Date 3 9 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	01 DEC 00	TP+DUPE	2	[Date]	[DMY-02, MY-01]	01 DEC 00 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Fri Dec 01 00:00:00 EST 2000, isEntity=true}),DEC 00 (Date 3 9 {precision=MONTH, hierarchy=Time.date, date=Fri Dec 01 00:00:00 EST 2000, isEntity=true}),
Date	POS	01 DEC 02	TP+DUPE	2	[Date]	[DMY-02, MY-01]	01 DEC 02 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2002, isEntity=true}),DEC 02 (Date 3 9 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2002, isEntity=true}),
Date	POS	30 DECEMBER 1990 	TP+DUPE	2	[Date]	[DMY-06, MY-04]	30 DECEMBER 1990 (Date 0 16 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DECEMBER 1990 (Date 3 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	30 DECMBER 1990  spelling er	FN	0	[]	[]	
Date	POS	30 DECIEMBERE 1990 spelling err	FN	0	[]	[]	
Date	POS	12-DEC-90	TP+DUPE	2	[Date]	[DMY-02, MY-01]	12-DEC-90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),DEC-90 (Date 3 9 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	12-DEC-1990	TP+DUPE	2	[Date]	[DMY-05, MY-02]	12-DEC-1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),DEC-1990 (Date 3 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	12 DEC 90	TP+DUPE	2	[Date]	[DMY-02, MY-01]	12 DEC 90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),DEC 90 (Date 3 9 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	12 DEC 1990	TP+DUPE	2	[Date]	[DMY-05, MY-02]	12 DEC 1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),DEC 1990 (Date 3 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	12DEC90	TP	1	[Date]	[DMY-07]	12DEC90 (Date 0 7 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),
Date	POS	12DEC1990	TP	1	[Date]	[DMY-08]	12DEC1990 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1990, isEntity=true}),
Date	POS	A 301400Z DEC 90	TP	1	[Date]	[MY-01]	DEC 90 (Date 10 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	A 351400Z DEC 90	TP	1	[Date]	[MY-01]	DEC 90 (Date 10 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1990, isEntity=true}),
Date	POS	20101230T1400Z	TP	1	[Date]	[DTG-04]	20101230T1400Z (Date 0 14 {precision=MINUTE, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 2010, isEntity=true}),
Date	POS	2010-12-30T14:00:00:12	TP+DUPE	2	[Date]	[DTG-05, DTG-06]	2010-12-30T14:00:00 (Date 0 19 {precision=SECOND, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 2010, isEntity=true}),2010-12-30T14:00:00:12 (Date 0 22 {precision=FRACTIONAL_SECOND, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 2010, isEntity=true}),
Date	POS	2010-12-30 14:00:00:12	TP	1	[Date]	[DTG-07]	2010-12-30 14:00:00 (Date 0 19 {precision=SECOND, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 2010, isEntity=true}),
Date	POS	20101230	TP	1	[Date]	[YMD-03]	20101230 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Thu Dec 30 00:00:00 EST 2010, isEntity=true}),
Date	POS	061830ZJAN12	TP	1	[Date]	[DTG-02]	061830ZJAN12 (Date 0 12 {precision=MINUTE, hierarchy=Time.date, date=Fri Jan 06 00:30:00 EST 2012, isEntity=true}),
Date	POS	11:27 AM	TP	1	[Date]	[Time-01]	11:27 AM (Date 0 8 {precision=ESTIMATED, hierarchy=Time.date, date=Thu Jan 01 11:27:00 EST 1970, isEntity=true}),
